accession,name,CS number,country code,latitude,longitude,collector,seq by,continent,country,admixed group,site,GTM axis 1,GTM axis 2,t-SNE axis 1,t-SNE axis 2,Principal component 1,Principal component 2
88,CYR,CS76790,FRA,47.4,0.683333,Valerie Le Corre,Monsanto,Europe,"France","Western Europe","CYR",9.431695494872304186e-01,-8.391439436777334837e-01,1.177605152130126953e+01,-2.982865333557128906e+01,-1.606151848421646655e-01,-2.753628059049604815e+01
108,LDV-18,CS77013,FRA,48.5167,-4.06667,Valerie Le Corre,Monsanto,Europe,"France","Western Europe","LDV",9.140654641442806927e-01,-8.364429539758275745e-01,1.338743114471435547e+01,-2.905397033691406250e+01,-1.451929296855601348e-01,-2.474698317279366222e+01
139,LDV-46,CS77014,FRA,48.5167,-4.06667,Valerie Le Corre,Monsanto,Europe,"France","Western Europe","LDV",9.143006959896775587e-01,-8.363841010930201936e-01,1.337979984283447266e+01,-2.906307601928710938e+01,-1.501566581168010950e-01,-2.454755500760093412e+01
159,MAR2-3,CS77070,FRA,47.35,3.93333,Valerie Le Corre,Monsanto,Europe,"France","Western Europe","Mar-02",9.955993538211729277e-01,-8.002606475315248158e-01,8.808966636657714844e+00,-3.128626441955566406e+01,-5.381696446369326203e+00,-2.353206515842820679e+01
265,PYL-6,CS77198,FRA,44.65,-1.16667,Valerie Le Corre,Monsanto,Europe,"France","Admixed","PYL",4.854499693316990383e-01,5.308732333957923988e-01,7.033740997314453125e+00,1.387452507019042969e+01,-3.446785733953181552e+00,-8.360190237222768772e+00
350,TOU-A1-88,CS77382,FRA,46.6667,4.11667,Fabrice Roux,Monsanto,Europe,"France","Western Europe","TOU-A1",9.979389217849130578e-01,-8.450997717182080482e-01,8.197216987609863281e+00,-3.124900245666503906e+01,-3.442894988103974985e+00,-2.772360494041542722e+01
351,TOU-A1-89,CS77383,FRA,46.6667,4.11667,Fabrice Roux,Monsanto,Europe,"France","Western Europe","TOU-A1",9.991333982291081828e-01,-8.595298970117043469e-01,7.534484386444091797e+00,-3.070748710632324219e+01,-5.096825572592074138e+00,-2.471295361766764032e+01
403,Zdarec3,CS78873,CZE,49.3667,16.2667,Marie-Theres Hauser,Monsanto,Europe,"Czechia","Central Europe","Zda-2",-5.610740005417506060e-01,-4.927088875972588343e-04,-4.314007568359375000e+01,1.514921379089355469e+01,-2.026757140824862091e+01,1.936906044232971302e+00
410,Doubravnik7,CS76808,CZE,49.4211,16.3497,Marie-Theres Hauser,Monsanto,Europe,"Czechia","Central Europe","Dou",-5.666111722146224272e-01,3.228068492691506253e-03,-4.243879318237304688e+01,1.511961460113525391e+01,-1.710661396221095387e+01,-1.460625362974361519e+00
424,Draha2,CS76812,CZE,49.4112,16.2815,Marie-Theres Hauser,Monsanto,Europe,"Czechia","Central Europe","Dra-1",-5.703755241449869340e-01,2.317782262045186875e-04,-4.470701980590820312e+01,1.459171772003173828e+01,-1.664891406005538599e+01,-2.104936233193897444e+00
428,Borky1,CS76718,CZE,49.403,16.232,Marie-Theres Hauser,Monsanto,Europe,"Czechia","Central Europe","Borky",-5.511547684288258253e-01,1.277530629791835898e-03,-4.193507766723632812e+01,1.641724395751953125e+01,-1.763066386560580057e+01,3.548276720206453128e+00
430,Gr-1,CS76496,AUT,47,15.5,Albert Kranz,Salk,Europe,"Austria","Central Europe","Graz",-6.258647863665592892e-01,-3.595568449650336437e-03,-3.776559448242187500e+01,1.194925689697265625e+01,-1.686952916035773953e+01,-9.226965751180832287e-01
